Season,Player,Nation,Squad,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches
2023-2024,William Saliba,fr FRA,Arsenal,DF,22.0,38,38,3420.0,38.0,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.6,1.6,0.2,1.8,16.0,157.0,6.0,0.05,0.03,0.08,0.05,0.08,0.04,0.01,0.05,0.04,0.05,Matches
2023-2024,Declan Rice,eng ENG,Arsenal,MF,24.0,38,37,3225.0,35.8,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,3.3,3.3,5.3,8.6,75.0,278.0,64.0,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,Matches
2023-2024,Martin Ødegaard,no NOR,Arsenal,MF,24.0,35,35,3091.0,34.3,8.0,10.0,18.0,6.0,2.0,2.0,2.0,0.0,7.4,5.8,9.6,15.5,91.0,344.0,202.0,0.23,0.29,0.52,0.17,0.47,0.22,0.28,0.5,0.17,0.45,Matches
2023-2024,Ben White,eng ENG,Arsenal,DF,25.0,37,35,2988.0,33.2,4.0,4.0,8.0,4.0,0.0,0.0,8.0,0.0,1.2,1.2,3.8,5.0,44.0,192.0,162.0,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,Matches
2023-2024,Bukayo Saka,eng ENG,Arsenal,FW,21.0,35,35,2919.0,32.4,16.0,9.0,25.0,10.0,6.0,6.0,4.0,0.0,15.5,10.8,10.5,21.2,155.0,126.0,508.0,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,Matches
2023-2024,Gabriel Magalhães,br BRA,Arsenal,DF,25.0,36,34,3044.0,33.8,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.3,4.3,0.7,5.0,13.0,117.0,8.0,0.12,0.0,0.12,0.12,0.12,0.13,0.02,0.15,0.13,0.15,Matches
2023-2024,David Raya,es ESP,Arsenal,GK,27.0,32,32,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,Kai Havertz,de GER,Arsenal,"MF,FW",24.0,37,30,2634.0,29.3,13.0,7.0,20.0,12.0,1.0,1.0,11.0,0.0,12.3,11.6,4.4,15.9,55.0,99.0,191.0,0.44,0.24,0.68,0.41,0.65,0.42,0.15,0.57,0.39,0.54,Matches
2023-2024,Gabriel Martinelli,br BRA,Arsenal,FW,22.0,35,24,2019.0,22.4,6.0,4.0,10.0,6.0,0.0,0.0,1.0,0.0,6.8,6.8,6.1,12.9,127.0,65.0,345.0,0.27,0.18,0.45,0.27,0.45,0.31,0.27,0.58,0.31,0.58,Matches
2023-2024,Oleksandr Zinchenko,ua UKR,Arsenal,DF,26.0,27,20,1722.0,19.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,2.5,3.1,40.0,229.0,58.0,0.05,0.1,0.16,0.05,0.16,0.03,0.13,0.16,0.03,0.16,Matches
2023-2024,Leandro Trossard,be BEL,Arsenal,"FW,MF",28.0,34,18,1649.0,18.3,12.0,1.0,13.0,12.0,0.0,0.0,2.0,0.0,7.9,7.9,2.8,10.7,66.0,76.0,155.0,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,Matches
2023-2024,Gabriel Jesus,br BRA,Arsenal,FW,26.0,27,17,1478.0,16.4,4.0,5.0,9.0,4.0,0.0,0.0,6.0,0.0,6.3,6.3,3.8,10.1,38.0,42.0,155.0,0.24,0.3,0.55,0.24,0.55,0.39,0.23,0.62,0.39,0.62,Matches
2023-2024,Jakub Kiwior,pl POL,Arsenal,DF,23.0,20,11,946.0,10.5,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.9,1.7,4.0,55.0,16.0,0.1,0.29,0.38,0.1,0.38,0.08,0.09,0.16,0.08,0.16,Matches
2023-2024,Takehiro Tomiyasu,jp JPN,Arsenal,DF,24.0,22,10,1149.0,12.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.5,1.5,0.4,1.9,17.0,72.0,37.0,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,Matches
2023-2024,Eddie Nketiah,eng ENG,Arsenal,FW,24.0,27,10,1082.0,12.0,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,4.5,4.5,0.8,5.4,22.0,20.0,77.0,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,Matches
2023-2024,Jorginho,it ITA,Arsenal,MF,31.0,24,10,921.0,10.2,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,1.4,1.5,8.0,101.0,8.0,0.0,0.2,0.2,0.0,0.2,0.01,0.13,0.14,0.01,0.14,Matches
2023-2024,Thomas Partey,gh GHA,Arsenal,"MF,DF",30.0,14,9,788.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,0.7,15.0,72.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.08,0.05,0.08,Matches
2023-2024,Aaron Ramsdale,eng ENG,Arsenal,GK,25.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
2023-2024,Emile Smith Rowe,eng ENG,Arsenal,MF,23.0,13,3,353.0,3.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.2,2.2,11.0,23.0,18.0,0.0,0.25,0.25,0.0,0.25,0.5,0.06,0.56,0.5,0.56,Matches
2023-2024,Fabio Vieira,pt POR,Arsenal,"MF,FW",23.0,11,2,297.0,3.3,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.3,0.5,1.6,2.1,12.0,15.0,30.0,0.3,0.61,0.91,0.0,0.61,0.38,0.49,0.87,0.14,0.64,Matches
